,gen,i,max,max_el,max_pop,mean,mean_el,mean_pop,min,min_el,min_pop,ppa
84,84,4571,75.8431,75.8431,75.8431,69.75739268292682,75.84073333333335,72.32748591549296,61.8774,75.8395,61.8774,2
85,85,4612,75.8431,75.8431,75.8431,70.37152833333334,75.84184666666667,72.19459666666665,61.873,75.8395,61.873,2
86,86,4672,75.8435,75.8435,75.8435,72.01039999999999,75.84287333333334,72.98449661016949,60.878,75.8425,60.878,2
87,87,4760,75.8435,75.8435,75.8435,70.04292711864407,75.84297333333335,71.99796516853932,58.8809,75.8425,58.8809,2
88,88,4819,75.8435,75.8435,75.8435,71.28679253731343,75.84312000000004,72.69592061855668,61.8771,75.8427,61.8771,2
89,89,4886,75.8435,75.8435,75.8435,70.44623333333334,75.84321333333337,72.13276041666664,60.876,75.8431,60.876,2
90,90,4952,75.8441,75.8441,75.8441,71.52941846153846,75.84329333333335,72.89166947368422,56.8912,75.8431,56.8912,2
91,91,5017,75.8441,75.8441,75.8441,69.5960976190476,75.84342,72.19909583333336,61.8743,75.8431,61.8743,2
92,92,5059,75.8441,75.8441,75.8441,70.67252500000001,75.84351333333332,72.76883378378376,62.8761,75.8431,62.8761,2
93,93,5103,75.8441,75.8441,75.8441,70.98108253968253,75.84374333333332,72.54960860215056,60.877,75.8433,60.877,2
94,94,5166,75.8441,75.8441,75.8441,72.69677051282052,75.84403333333334,73.57092962962965,64.8695,75.8439,64.8695,2
95,95,5244,75.8441,75.8441,75.8441,72.47020952380952,75.8441,73.35805789473679,62.8702,75.8441,62.8702,2
96,96,5328,75.8441,75.8441,75.8441,69.77276440677966,75.8441,71.81928202247191,61.8782,75.8441,61.8782,2
97,97,5387,75.8441,75.8441,75.8441,69.26862435897435,75.8441,71.09514537037035,60.8796,75.8441,60.8796,2
98,98,5465,75.8441,75.8441,75.8441,70.17555217391303,75.8441,71.89329393939393,61.877,75.8441,61.877,2
99,99,5534,75.8441,75.8441,75.8441,70.14220142857143,75.8441,71.85277099999996,58.8796,75.8441,58.8796,2
100,100,5604,75.8441,75.8441,75.8441,70.05099701492536,75.8441,71.84267835051546,60.8818,75.8441,60.8818,2
101,101,5671,75.8441,75.8441,75.8441,69.91423857142857,75.8441,71.69319699999997,56.8846,75.8441,56.8846,2
102,102,5741,75.8441,75.8441,75.8441,69.79939710144927,75.8441,71.63112525252524,60.8771,75.8441,60.8771,2
103,103,5810,75.8441,75.8441,75.8441,70.34030967741934,75.8441,72.13502391304345,61.8712,75.8441,61.8712,2
104,104,5872,75.8441,75.8441,75.8441,70.57834153846153,75.8441,72.24121263157893,59.8838,75.8441,59.8838,2
105,105,5937,75.8441,75.8441,75.8441,70.04025774647889,75.8441,71.76417128712869,62.8758,75.8441,62.8758,2
106,106,6008,75.8441,75.8441,75.8441,70.50275294117645,75.8441,72.13785918367347,60.8747,75.8441,60.8747,2
107,107,6076,75.8441,75.8441,75.8441,70.20745810810813,75.8441,71.83341249999997,61.8717,75.8441,61.8717,2
108,108,6150,75.8441,75.8441,75.8441,69.9146347826087,75.8441,71.71144242424243,58.8842,75.8441,58.8842,2
109,109,6219,75.8441,75.8441,75.8441,70.29347499999997,75.8441,72.06495106382974,60.879,75.8441,60.879,2
110,110,6283,75.8441,75.8441,75.8441,70.26162318840578,75.8441,71.9532828282828,60.8745,75.8441,60.8745,2
111,111,6352,75.8441,75.8441,75.8441,70.02974038461538,75.8441,72.15694512195121,60.8834,75.8441,60.8834,2
112,112,6404,76.8402,76.8402,76.8402,69.91008815789472,75.87731,71.58952547169811,61.8845,75.8441,61.8845,2
113,113,6480,75.8441,76.8402,76.8402,69.55666333333335,75.87731,72.71698666666666,60.8681,75.8441,60.8681,2
114,114,6510,76.8402,76.8402,76.8402,69.76299375000002,75.97685333333332,72.7215338709677,59.8808,75.8441,59.8808,2
115,115,6542,76.8398,76.8402,76.8402,68.28102894736843,76.01004333333331,71.67624558823525,59.8816,75.8441,59.8816,2
116,116,6580,76.8402,76.8402,76.8402,69.90295116279069,76.27544666666667,72.41271506849313,59.8804,75.8441,59.8804,2
117,117,6623,76.8402,76.8402,76.8402,72.11824333333335,76.77286333333335,73.50397777777773,61.8791,75.8441,61.8791,2
118,118,6683,76.8402,76.8402,76.8402,73.5001533898305,76.83989,74.16354054054052,62.8745,76.8393,62.8745,2
119,119,6801,76.8404,76.8404,76.8404,71.93405773195876,76.84010666666667,73.09291574803149,60.8764,76.8398,60.8764,2
120,0,0,64.8667,64.8667,64.8667,61.23527000000002,61.23527,61.23527,53.8807,53.8807,53.8807,6
121,1,30,66.8586,66.8586,66.8586,62.108278160919554,64.76475000000002,61.884429914529896,52.8878,63.8658,52.8878,6
122,2,117,70.8489,70.8489,70.8489,64.17475517241378,66.16031,64.37588977272728,57.8745,64.8664,57.8745,6
123,3,175,70.8485,70.8489,70.8489,64.06541714285714,66.85991666666665,65.03229076923076,56.8845,65.8616,56.8845,6
124,4,210,70.8489,70.8489,70.8489,66.07677837837835,67.98951000000001,66.42743731343288,60.8757,66.8563,60.8757,6
125,5,247,71.8463,71.8463,71.8463,67.04668490566037,70.05044666666666,67.38746506024093,62.8553,67.8614,62.8553,6
126,6,300,71.8463,71.8463,71.8463,67.1618256097561,71.04759333333332,67.93556339285713,58.8776,70.8455,58.8776,6
127,7,382,71.8468,71.8468,71.8468,67.21628799999999,71.34669999999998,68.65302750000001,55.8803,70.8485,55.8803,6
128,8,432,72.8422,72.8422,72.8422,68.39740526315789,71.84494333333338,69.41440344827589,58.8711,70.8529,58.8711,6
129,9,489,72.8455,72.8455,72.8455,68.24633188405795,71.97928,69.33682020202022,58.8797,71.8433,58.8797,6
130,10,558,72.8443,72.8455,72.8455,69.24649090909091,72.07948999999999,70.54781904761903,61.8668,71.8453,61.8668,6
131,11,591,72.8455,72.8455,72.8455,69.3876441860465,72.44500999999997,70.49388219178083,63.868,71.8467,63.868,6
132,12,634,73.8403,73.8403,73.8403,70.37020519480517,72.87646666666666,70.95192616822428,61.8722,72.8414,61.8722,6
133,13,711,73.838,73.8403,73.8403,68.48966666666665,72.90987333333334,70.68306666666669,60.8788,72.8416,60.8788,6
134,14,741,73.842,73.842,73.842,69.87768648648648,73.04318666666664,71.23538208955223,62.8657,72.8424,62.8657,6
135,15,778,73.8432,73.8432,73.8432,70.3920083333333,73.40901000000001,71.4116923076923,63.8601,72.8443,63.8601,6
136,16,826,74.8399,74.8399,74.8399,71.30815657894738,73.87400666666669,71.90273773584903,61.8674,73.838,61.8674,6
137,17,902,74.8455,74.8455,74.8455,70.70729714285714,73.97470000000001,72.16885538461543,64.868,73.8397,64.868,6
138,18,937,75.8409,75.8409,75.8409,70.43750243902437,74.20860333333334,71.93209295774646,61.8734,73.8406,61.8734,6
139,19,978,75.841,75.841,75.841,70.31139166666667,74.54173333333334,71.81031923076925,60.8827,73.842,60.8827,6
140,20,1026,77.836,77.836,77.836,71.27973174603174,75.34117666666666,72.33199032258065,61.867,74.8359,61.867,6
141,21,1089,77.8358,77.836,77.836,71.01021578947368,75.64075333333332,72.92093382352941,62.8659,74.8387,62.8659,6
142,22,1127,78.832,78.832,78.832,72.78208524590165,76.73770999999998,73.72450329670329,64.8562,75.8408,64.8562,6
143,23,1188,78.832,78.832,78.832,73.02043846153848,77.40202000000001,74.38041585365855,63.8741,76.8334,63.8741,6
144,24,1240,79.8274,79.8274,79.8274,73.63735283018869,78.20051333333335,74.99807590361443,57.8816,76.8377,57.8816,6
145,25,1293,79.8251,79.8274,79.8274,74.30160416666665,78.7975733333333,75.44834215686274,66.8605,77.8358,66.8605,6
146,26,1365,79.8274,79.8274,79.8274,75.16804657534243,79.19523333333329,76.22519029126212,66.8645,78.8309,66.8645,6
147,27,1438,79.8274,79.8274,79.8274,75.0357803030303,79.62543333333329,76.33560937499996,64.8586,78.832,64.8586,6
148,28,1504,80.8213,80.8213,80.8213,76.05081477272729,79.89076000000001,76.9596161016949,64.8727,79.8219,64.8727,6
149,29,1592,79.8274,80.8213,80.8213,72.69297575757574,79.89094333333334,76.12049206349211,59.8725,79.8219,59.8725,6
150,30,1625,80.8181,80.8213,80.8213,72.28208461538462,79.92415000000003,75.59028405797105,62.8684,79.8219,62.8684,6
151,31,1664,81.8148,81.8148,81.8148,74.30583720930234,80.12340999999999,76.61473287671237,64.8678,79.8223,64.8678,6
152,32,1707,81.815,81.815,81.815,72.55278048780491,80.32254999999999,75.751638028169,64.8609,79.8232,64.8609,6
153,33,1748,82.8123,82.8123,82.8123,74.78470000000002,80.85307666666664,76.71650813953488,65.8542,79.8251,65.8542,6
154,34,1804,82.8121,82.8123,82.8123,76.09831666666665,81.68102333333334,77.49677549019611,65.8701,80.8169,65.8701,6
155,35,1876,82.8123,82.8123,82.8123,76.41892266666665,82.04664333333336,77.92237999999999,63.8703,81.8121,63.8703,6
156,36,1951,82.8124,82.8124,82.8124,76.19295799999999,82.34647333333334,78.38809000000002,64.8598,81.8142,64.8598,6
157,37,2001,83.8081,83.8081,83.8081,77.37664736842105,82.87825666666669,78.56940560000002,66.8636,82.8108,66.8636,6
158,38,2096,83.8089,83.8089,83.8089,73.97789722222221,82.94477333333337,78.02351515151518,63.870400000000004,82.8109,63.870400000000004,6
159,39,2132,82.8166,83.8089,83.8089,75.28117555555556,82.94518666666669,78.34661466666665,62.8715,82.8113,62.8715,6
160,40,2177,83.8081,83.8089,83.8089,74.78281351351352,82.97844333333336,78.43760746268657,64.8719,82.8117,64.8719,6
161,41,2214,84.8042,84.8042,84.8042,75.51559999999999,83.21094666666667,78.42320129870131,66.8548,82.8123,66.8548,6
162,42,2261,83.8089,84.8042,84.8042,74.77714,83.31048666666666,77.93981749999999,64.8589,82.8123,64.8589,6
