netlist length,solvability by arb 20x20,solvability of mean 20x20,solvability best of 20x20,solvability worst of 20x20,solvability by arb 30x30,solvability of mean 30x30,solvability best of 30x30,solvability worst of 30x30,solvability by arb 40x40,solvability of mean 40x40,solvability best of 40x40,solvability worst of 40x40,solvability by arb 50x50,solvability of mean 50x50,solvability best of 50x50,solvability worst of 50x50,solvability by arb 60x60,solvability of mean 60x60,solvability best of 60x60,solvability worst of 60x60,solvability by arb 70x70,solvability of mean 70x70,solvability best of 70x70,solvability worst of 70x70,solvability by arb 80x80,solvability of mean 80x80,solvability best of 80x80,solvability worst of 80x80,solvability by arb 90x90,solvability of mean 90x90,solvability best of 90x90,solvability worst of 90x90,solvability by arb 100x100,solvability of mean 100x100,solvability best of 100x100,solvability worst of 100x100
32,0,0.00125,0.15,0,0.2,0.13475,0.9,0,0.35,0.4135,1,0,0.625,0.57175,1,0,0.85,0.62875,1,0,0.7,0.71525,1,0,0.7,0.7464999999999999,1,0,0.65,0.66725,1,0,0.65,0.76525,1,0
33,0,0.00025,0.05,0,0.15,0.1485,1,0,0.3,0.35175,1,0,0.425,0.462375,1,0,0.6,0.45975,1,0,0.55,0.58675,1,0,0.75,0.67425,1,0,0.8,0.7555,1,0,0.8,0.81825,1,0.05
34,0,0,0,0,0,0.0965,1,0,0.2,0.217,1,0,0.5,0.491,1,0,0.55,0.553,1,0,0.5,0.5785,1,0,0.65,0.625,1,0,0.7,0.77325,1,0,0.85,0.76175,1,0
35,0,0,0,0,0.2,0.11175,0.95,0,0.25,0.24775,1,0,0.3,0.389,0.95,0,0.55,0.4645,1,0,0.65,0.61725,1,0,0.55,0.5385,1,0,0.7,0.6575,1,0,0.75,0.75525,1,0
36,0,0,0,0,0.2,0.058,0.9,0,0.1,0.2195,1,0,0.375,0.308875,1,0,0.5,0.45725,1,0,0.55,0.51075,1,0,0.75,0.6990000000000001,1,0,0.7,0.70025,1,0,0.75,0.742,1,0
37,0,0,0,0,0.1,0.05375,0.85,0,0.2,0.18,0.95,0,0.2,0.26425,1,0,0.35,0.4045,1,0,0.55,0.57625,1,0,0.7,0.584,1,0,0.5,0.547,1,0,0.7,0.7,1,0
38,0,0,0,0,0,0.04175,0.9,0,0.15,0.18825,1,0,0.225,0.20525,1,0,0.3,0.318,1,0,0.35,0.389,1,0,0.7,0.558,1,0,0.7,0.62475,1,0,0.55,0.6425,1,0
39,0,0,0,0,0.05,0.03575,0.85,0,0.05,0.17125,1,0,0.4,0.221375,1,0,0.35,0.3015,1,0,0.5,0.5115,1,0,0.45,0.5135,1,0,0.6,0.5975,1,0,0.7,0.5565,1,0
40,0,0,0,0,0.05,0.01675,0.7,0,0.1,0.085,1,0,0.2,0.18,1,0,0.2,0.25975,1,0,0.3,0.36825,1,0,0.3,0.4765,1,0,0.4,0.48475,1,0,0.6,0.60675,1,0
41,0,0,0,0,0,0.01425,0.8,0,0.05,0.0815,0.95,0,0.125,0.1595,1,0,0.35,0.268,1,0,0.3,0.33525,1,0,0.5,0.4475,1,0,0.55,0.52725,1,0,0.6,0.60575,1,0
