netlist length,routability by arb 20x20,routability of mean 20x20,routability best of 20x20,routability worst of 20x20,routability by arb 30x30,routability of mean 30x30,routability best of 30x30,routability worst of 30x30,routability by arb 40x40,routability of mean 40x40,routability best of 40x40,routability worst of 40x40,routability by arb 50x50,routability of mean 50x50,routability best of 50x50,routability worst of 50x50,routability by arb 60x60,routability of mean 60x60,routability best of 60x60,routability worst of 60x60,routability by arb 70x70,routability of mean 70x70,routability best of 70x70,routability worst of 70x70,routability by arb 80x80,routability of mean 80x80,routability best of 80x80,routability worst of 80x80,routability by arb 90x90,routability of mean 90x90,routability best of 90x90,routability worst of 90x90,routability by arb 100x100,routability of mean 100x100,routability best of 100x100,routability worst of 100x100
32,0,0.00125,0.1,0,0.1,0.1285,0.95,0,0.4,0.409,1,0,0.65,0.56075,1,0,0.7,0.607,1,0,0.75,0.718,1,0,0.7,0.73975,1,0,0.75,0.66425,1,0,0.85,0.764,1,0
33,0,0,0,0,0.15,0.1385,0.95,0,0.35,0.3405,1,0,0.4,0.4655,1,0,0.4,0.461,1,0,0.65,0.5932499999999999,1,0,0.75,0.68075,1,0,0.65,0.7444999999999999,1,0,0.8,0.8115,1,0.05
34,0,0.0005,0.1,0,0.1,0.102,0.95,0,0.2,0.20425,1,0,0.5,0.4845,1,0,0.65,0.56275,1,0,0.35,0.5785,1,0,0.65,0.61275,1,0,0.8,0.77075,1,0,0.75,0.7595,1,0
35,0,0,0,0,0.05,0.09425,0.95,0,0.35,0.2485,0.95,0,0.15,0.38625,0.95,0,0.3,0.468,1,0,0.7,0.619,1,0,0.55,0.5385,1,0,0.75,0.659,1,0,0.7,0.7545000000000001,1,0
36,0,0,0,0,0.05,0.061,0.95,0,0.25,0.22475,0.95,0,0.4,0.314,1,0,0.55,0.44725,1,0,0.55,0.5045,1,0,0.5,0.68675,1,0,0.8,0.69825,1,0,0.75,0.7385,1,0
37,0,0,0,0,0.05,0.05275,0.8,0,0.25,0.183,1,0,0.3,0.272,0.95,0,0.7,0.4115,1,0,0.7,0.57525,1,0,0.55,0.58325,1,0,0.5,0.521,1,0,0.7,0.71175,1,0
38,0,0,0,0,0,0.0395,0.85,0,0.15,0.19425,1,0,0.1,0.20275,1,0,0.65,0.3085,1,0,0.4,0.39175,1,0,0.55,0.5650000000000001,1,0,0.7,0.625,1,0,0.65,0.64025,1,0
39,0,0,0,0,0.05,0.029500000000000002,0.65,0,0.05,0.17425,1,0,0.2,0.22175,1,0,0.45,0.32425,1,0,0.55,0.50975,1,0,0.55,0.52725,1,0,0.65,0.5972500000000001,1,0,0.5,0.556,1,0
40,0,0,0,0,0,0.014750000000000001,0.6,0,0.15,0.088,1,0,0.15,0.17825,1,0,0.45,0.25575,1,0,0.45,0.37,1,0,0.5,0.4875,1,0,0.45,0.4875,1,0,0.55,0.609,1,0
41,0,0,0,0,0,0.01225,0.6,0,0.05,0.08025,0.95,0,0.2,0.16625,1,0,0.3,0.27075,1,0,0.35,0.34400000000000003,1,0,0.45,0.45325,1,0,0.65,0.506,1,0,0.55,0.612,1,0
42,0,0,0,0,0.05,0.01225,0.5,0,0.1,0.058750000000000004,1,0,0.1,0.099,0.95,0,0.3,0.26225,1,0,0.2,0.31625000000000003,1,0,0.35,0.40225,1,0,0.55,0.47075,1,0,0.7,0.50625,1,0
43,0,0,0,0,0,0.00825,0.55,0,0.1,0.0505,0.9,0,0.15,0.11800000000000001,0.95,0,0.2,0.23125,1,0,0.4,0.36225,1,0,0.35,0.3715,1,0,0.35,0.46449999999999997,1,0,0.45,0.48475,1,0
44,0,0,0,0,0.05,0.007,0.4,0,0,0.0675,0.95,0,0.05,0.15125,0.9,0,0.2,0.1485,1,0,0.25,0.2765,1,0,0.2,0.3265,1,0,0.4,0.383,1,0,0.5,0.45525,1,0
45,0,0,0,0,0,0.0005,0.1,0,0.1,0.05025,0.85,0,0.05,0.05775,1,0,0.15,0.169,1,0,0.35,0.24125,1,0,0.15,0.278,1,0,0.3,0.3855,1,0,0.5,0.4575,1,0
46,0,0,0,0,0,0.0025,0.3,0,0.05,0.02125,0.75,0,0.15,0.098,0.95,0,0.15,0.10325,1,0,0.45,0.293,1,0,0.3,0.2515,1,0,0.2,0.289,1,0,0.4,0.4375,1,0
47,0,0,0,0,0,0.002,0.25,0,0,0.03375,0.8,0,0.05,0.055,1,0,0.15,0.12575,0.95,0,0.2,0.1315,1,0,0.2,0.29875,1,0,0.25,0.286,1,0,0.5,0.39275,1,0
48,0,0,0,0,0,0.0005,0.1,0,0.05,0.017,0.6,0,0,0.05575,0.9,0,0.05,0.11775000000000001,0.95,0,0.2,0.1835,1,0,0.25,0.2185,1,0,0.25,0.2755,1,0,0.15,0.29225,1,0
49,0,0,0,0,0,0.00075,0.15,0,0,0.017,0.65,0,0,0.037,0.85,0,0.05,0.081,1,0,0.1,0.15525,0.95,0,0.25,0.2275,1,0,0.35,0.28475,1,0,0.25,0.325,1,0
50,0,0,0,0,0,0.00025,0.05,0,0.05,0.013000000000000001,0.6,0,0,0.038,0.9,0,0.2,0.1165,0.95,0,0.05,0.114,0.9,0,0.1,0.14225000000000002,1,0,0.05,0.18275,1,0,0.25,0.183,0.95,0
51,0,0,0,0,0,0.00075,0.05,0,0,0.00425,0.4,0,0.05,0.04225,0.65,0,0.15,0.09925,0.95,0,0.05,0.12125,1,0,0.1,0.15075,1,0,0.1,0.2075,1,0,0.2,0.2405,0.95,0
52,0,0,0,0,0,0,0,0,0,0.00625,0.4,0,0,0.01575,0.65,0,0.05,0.0415,0.9,0,0,0.101,1,0,0.15,0.166,1,0,0.15,0.17625,1,0,0.25,0.24475,1,0
53,0,0,0,0,0,0.00025,0.05,0,0,0.007,0.4,0,0,0.009,0.6,0,0,0.04175,0.9,0,0.25,0.15525,0.95,0,0.05,0.1185,1,0,0.1,0.13974999999999999,0.95,0,0.15,0.249,1,0
54,0,0,0,0,0,0,0,0,0,0.00125,0.25,0,0.05,0.02325,0.6,0,0.05,0.028999999999999998,0.7,0,0.25,0.11,0.95,0,0.05,0.093,0.9,0,0.05,0.1625,1,0,0.1,0.199,1,0
55,0,0,0,0,0,0,0,0,0,0.00075,0.15,0,0,0.0055,0.35,0,0,0.02425,0.8,0,0.05,0.087,0.85,0,0.05,0.09175,0.9,0,0.1,0.07,1,0,0.2,0.13925,1,0
56,0,0,0,0,0,0,0,0,0,0.0015,0.15,0,0,0.00475,0.3,0,0.05,0.029,0.7,0,0.05,0.05475,0.9,0,0,0.0635,0.95,0,0,0.1355,0.9,0,0.2,0.161,1,0
57,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.0035,0.35,0,0,0.023,0.8,0,0,0.03925,0.85,0,0.05,0.08650000000000001,0.95,0,0,0.06375,0.9,0,0.15,0.12925,0.95,0
