, arbitrary netlists,,mean routability,,optimized netlist order,,worst order,
chipsize (XxZ),initial_a,initial_b,mean_a,mean_b,best_a,best_b,worst_a,worst_b
20,13.746892230373208,0.28579495242596586,13.771384862967869,0.2740223314619768,26.617552305398625,0.39845414917188254,8.083108438079497,0.6116653060378565
30,24.1550418591859,0.18654752684039658,24.067427063983306,0.2153275748001505,42.51485444089921,0.38824923015005114,12.014999311528804,0.6479167366139134
40,29.354027743960895,0.20863896645769167,28.764464819610133,0.1807892180293841,50.93308994630673,0.30791763676284367,12.872416804419432,0.6414124448539683
50,31.32452872971354,0.16751077328638989,31.44501907764973,0.17130068964080478,54.9835929558408,0.29893184283061464,14.886279078367625,0.4388607285122287
60,35.10696503868507,0.15585753727981155,34.09965451201598,0.15493891975737628,59.72121651640449,0.2298766637285133,15.852217830921765,0.36497231477178793
70,36.97129247440229,0.14698171469322047,37.16154320885128,0.1442521670372811,64.19983501372428,0.25906415528406523,16.38017645128014,0.3806323919329157
80,40.09554120534175,0.14587799084691513,38.967265940062674,0.13926094549856136,68.13181740050403,0.21935798468659745,18.14013391442463,0.36844797857997064
90,41.2796790342375,0.13005044753589082,40.627495503415304,0.1344982345557978,71.26121155414229,0.2102188832484395,18.032294874639984,0.30209379152450044
100,42.54964736964065,0.14090792177046468,42.94887261231159,0.13467668275428082,75.06080872055102,0.2367136601192955,19.859828406276424,0.2635898482493288
