netlist length,solvability by random 20x20,solvability of mean 20x20,solvability best of 1 20x20,solvability by random 30x30,solvability of mean 30x30,solvability best of 1 30x30,solvability by random 40x40,solvability of mean 40x40,solvability best of 1 40x40,solvability by random 50x50,solvability of mean 50x50,solvability best of 1 50x50,solvability by random 60x60,solvability of mean 60x60,solvability best of 1 60x60,solvability by random 70x70,solvability of mean 70x70,solvability best of 1 70x70,solvability by random 80x80,solvability of mean 80x80,solvability best of 1 80x80
49,0,0,0,0,0,0,0.05,0.05,0.05,0.1,0.1,0.1,0.05,0.05,0.05,0.3,0.3,0.3,0.2,0.2,0.2
50,0,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0.1,0.1,0.1,0.05,0.05,0.05,0.15,0.15,0.15
51,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.15,0.15,0.15,0.35,0.35,0.35
52,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.15,0.15,0.15,0.1,0.1,0.1
53,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.15,0.15,0.15,0.15,0.15,0.15
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.15,0.15,0.15
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.1,0.1,0.1
56,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1
57,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.15,0.15,0.15,0.1,0.1,0.1
58,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0.15,0.15,0.15
59,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1
61,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0.05,0.05,0.05,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05
63,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.15,0.15,0.15
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0,0,0
